at,reviewId,content
2021-12-15 23:13:23,gp:AOqpTOH4ofMWZ39HcQ2SJSOQnBGE7FBy7JmWGjdJ3xsT3bMn9nIfZKzv55VpRc2oYK2ZG_WTsYgYkAH0f6JhxA,色々あるのですが、バグも多いいくもないので嬉しいです
2021-12-15 23:13:23,gp:AOqpTOH4ofMWZ39HcQ2SJSOQnBGE7FBy7JmWGjdJ3xsT3bMn9nIfZKzv55VpRc2oYK2ZG_WTsYgYkAH0f6JhxA,是非初心者も使ってみてください
2021-12-15 14:21:21,gp:AOqpTOHR7LdKn4dOTmzYBxEhWMTcgYzNaOCA_MZxLW7sFxakPhZig0sDOXtLjsS7jcUqCTp9idS25uZnsOt8dg,使いやすくて、めっちゃいいんですけど、動画と、写真だけではなく、gifも使えるようにしてほしいです
2021-12-15 14:21:21,gp:AOqpTOHR7LdKn4dOTmzYBxEhWMTcgYzNaOCA_MZxLW7sFxakPhZig0sDOXtLjsS7jcUqCTp9idS25uZnsOt8dg,あと、作っている時スムーズに流れなくてガタガタになって何度音合わせしてもズレたりして嫌なので訂正して欲しいです
2021-12-15 13:46:50,gp:AOqpTOE7tcQb78CZMgPMw-S7RI90kTdi290rBQ4VwoGgl5LH4CJisAPpyLG36GIrMwt6bNvUv1aB6wDpgwIJsQ,本当に便利で使いやすいこれはオススメです
2021-12-15 05:04:57,gp:AOqpTOEeeoSZ6ZMGWTuaD4blj6xG3aFRp-76FUX3G8oOZm_8HwEbzRMFB-uRsfBstw9IcG7_t-ao0G_ldqoUVA,ほんとにいいアプリ
2021-12-14 18:12:42,gp:AOqpTOEOoPZIMkRgDKHTST1guonY22tTLYor_IIWiCzknnBv4hZuF_mlY65cepHTCWqrgsukTBlB9vw_0Phl3Q,ちゃんとエスクポートしたのに保存されません
2021-12-14 18:12:42,gp:AOqpTOEOoPZIMkRgDKHTST1guonY22tTLYor_IIWiCzknnBv4hZuF_mlY65cepHTCWqrgsukTBlB9vw_0Phl3Q,ちゃんと許可もしているのに
2021-12-14 18:12:42,gp:AOqpTOEOoPZIMkRgDKHTST1guonY22tTLYor_IIWiCzknnBv4hZuF_mlY65cepHTCWqrgsukTBlB9vw_0Phl3Q,どうなってるんですか
2021-12-14 18:12:42,gp:AOqpTOEOoPZIMkRgDKHTST1guonY22tTLYor_IIWiCzknnBv4hZuF_mlY65cepHTCWqrgsukTBlB9vw_0Phl3Q,おかしいですよ
2021-12-13 19:24:45,gp:AOqpTOFZFCajcgowNEV341yzRiIYdSBVppRnO0i4JIfl_O7F6VbZxwUsISIP6pAv8ky1RfAkwNK2Q_lSgoAC6A,自分たちが作った動画を編集出来てとても嬉しいですありがとうございます
2021-12-13 17:52:02,gp:AOqpTOEYVcBDN1GJa_R91t9EJZ_FO5bomzlFxNCYdcfMtjTGQLqAcMoufWERWPcA56izq_B9D1po09-ntiM64Q,いつも使ってるけど、非常に扱いやすいね️不満があるとすれば文字の教科書フォントでたまに文字が変になるバグ
2021-12-13 17:52:02,gp:AOqpTOEYVcBDN1GJa_R91t9EJZ_FO5bomzlFxNCYdcfMtjTGQLqAcMoufWERWPcA56izq_B9D1po09-ntiM64Q,を修正してほしい
2021-12-13 14:31:08,gp:AOqpTOE0c1xy80tn50b9Jvs_qhuzIZSuPyntS7w6vGUZ1fIf_SZR5VDw1GIfQdntxKbAyK_4kTaPDKeXbpC9EA,かなりつかわせていただいてます
2021-12-13 05:48:33,gp:AOqpTOH_Bju1_SrgX3u59Q4kdHJKPlJHs-p4G2v_2QTw8uinay4njDcAX7AO69Pxd_EfNDcGTzVcWt_7B03cHA,流行りの音ハメ動画を作ってスマホに保存しましたが、再生すると映像と音声がずれてしまいます
2021-12-13 05:48:33,gp:AOqpTOH_Bju1_SrgX3u59Q4kdHJKPlJHs-p4G2v_2QTw8uinay4njDcAX7AO69Pxd_EfNDcGTzVcWt_7B03cHA,10秒ほどのスライドショーなのですが何回作り直してもエクスポートすると音がズレます
2021-12-13 05:48:33,gp:AOqpTOH_Bju1_SrgX3u59Q4kdHJKPlJHs-p4G2v_2QTw8uinay4njDcAX7AO69Pxd_EfNDcGTzVcWt_7B03cHA,なぜでしょう
2021-12-13 03:51:03,gp:AOqpTOHbcnE34z04VYOI4Vt72NPRsvXtb66IVyopZf77Etkh3m9YDGhQRWP4lASc1yKOpe1O-5Ru4z836As85A,下書きを使うって言うやつがあってとても使いやすいし楽
2021-12-13 01:00:18,gp:AOqpTOHcEmr4I6nepEvZGNOGv-YyJZm7DOm5l7ZN6iQZL9rCfDunlh0JcqBpc9YTlpRhKEyQZzX43ilC8q5CyA,タップしても全然反応しない
2021-12-13 01:00:18,gp:AOqpTOHcEmr4I6nepEvZGNOGv-YyJZm7DOm5l7ZN6iQZL9rCfDunlh0JcqBpc9YTlpRhKEyQZzX43ilC8q5CyA,編集ができない
2021-12-12 19:58:25,gp:AOqpTOHdTEmUUZvmtS1tApJpkk15AR_4Dybx_wx2SLl74MKbVQlLznjgx5WNcvm4YCcbNiDITqGfCA2PZFfhOg,この編集アプリは使いやすいです
2021-12-12 19:58:25,gp:AOqpTOHdTEmUUZvmtS1tApJpkk15AR_4Dybx_wx2SLl74MKbVQlLznjgx5WNcvm4YCcbNiDITqGfCA2PZFfhOg,でも重くなる時があります
2021-12-12 17:17:28,gp:AOqpTOHkHYpe3Vfi512JtMw2-xe--7UEY2mL9cXleejGf-fYGk_lEMTbFu-D6J_zhm9qcSfNUL8voopuz2PIrA,編集が簡単でいいアプリですがなんか字幕を打とうとしたら文字を打っても出てこなくなります
2021-12-12 17:17:28,gp:AOqpTOHkHYpe3Vfi512JtMw2-xe--7UEY2mL9cXleejGf-fYGk_lEMTbFu-D6J_zhm9qcSfNUL8voopuz2PIrA,どうしたらいいんでしょうか
2021-12-12 07:13:21,gp:AOqpTOG-LrgtEW-s1IHCSWRzzOH169EJvIo5FRnHOFPNOInTrxg5c-f0rtqNtsVk1lkw6-E7JZ1XX2TLkbAZqw,前まで文字をちゃんと打ててたのに、文字を打とうとしても真っ白で打てません
2021-12-12 07:13:21,gp:AOqpTOG-LrgtEW-s1IHCSWRzzOH169EJvIo5FRnHOFPNOInTrxg5c-f0rtqNtsVk1lkw6-E7JZ1XX2TLkbAZqw,それに、androidだからかもしれないけど凄く重くて音ハメできません
2021-12-12 07:13:21,gp:AOqpTOG-LrgtEW-s1IHCSWRzzOH169EJvIo5FRnHOFPNOInTrxg5c-f0rtqNtsVk1lkw6-E7JZ1XX2TLkbAZqw,ちゃんと修正してください
2021-12-11 23:23:47,gp:AOqpTOH7ojvNwAWD1i-ulKdTzXQirzV0nxbTkaTctLIRPhC19Ky1PaytOmGXQcO4VHzFFUGj0VxDCrDVbsUZDg,アプリ自体はとてもいい初心者にもおすすめ
2021-12-11 23:23:47,gp:AOqpTOH7ojvNwAWD1i-ulKdTzXQirzV0nxbTkaTctLIRPhC19Ky1PaytOmGXQcO4VHzFFUGj0VxDCrDVbsUZDg,だけど使用したい写真はちゃんとデートはあるがcapcutで使用しようとすると表示されません
2021-12-11 19:32:57,gp:AOqpTOG-fD4FMhld2GxxavWhii7ZAN2jvI8AfTMjbHyFFTzpWw_FsutHbwG0xRr6TRBo_DoDk31R2PFBKQkRJg,あ2ゆらへさやたなやまか
2021-12-11 15:36:15,gp:AOqpTOHZqRLjsYMmEyag2CKLoLsTUfz0zlmMIDnQo6DamhhTcf7Xck59OtANl_9qqnoWHJzSwicHI8m3Eeu-LA,え、なんかフォント消えたんですけど
2021-12-11 14:14:33,gp:AOqpTOEShMgiSelqDZEtDNIv4BUKK3vUI3gIButkVn41p6GMk-QufzSVU7-CddcCJECi1lHioqD-NSz7l10fZA,すごく楽しい音楽、切り替えの時の、エフェクト
2021-12-11 14:14:33,gp:AOqpTOEShMgiSelqDZEtDNIv4BUKK3vUI3gIButkVn41p6GMk-QufzSVU7-CddcCJECi1lHioqD-NSz7l10fZA,みたいなやつもあるし、ほんっっっとに凄いアプリだと思う
2021-12-11 14:14:33,gp:AOqpTOEShMgiSelqDZEtDNIv4BUKK3vUI3gIButkVn41p6GMk-QufzSVU7-CddcCJECi1lHioqD-NSz7l10fZA,一番使ってるアプリだもん
2021-12-11 14:14:33,gp:AOqpTOEShMgiSelqDZEtDNIv4BUKK3vUI3gIButkVn41p6GMk-QufzSVU7-CddcCJECi1lHioqD-NSz7l10fZA,動画編集していて、完成を見たときは、凄く満足、達成感があって、頑張った
2021-12-11 14:14:33,gp:AOqpTOEShMgiSelqDZEtDNIv4BUKK3vUI3gIButkVn41p6GMk-QufzSVU7-CddcCJECi1lHioqD-NSz7l10fZA,と思いますこのアプリは神アプリです
2021-12-11 12:06:02,gp:AOqpTOEHRr9cYsw_T1r8tGbuBp0gpKURZ7PoVIfVP3OQyZtT6qjW0uvMRV3Ha82UxO51L_FRUDWBr7HjO05Vww,もう少しバグを改善して欲しいです、
